timestamp,interval(s),volt_0,volt_1,volt_2,volt_3
2020-04-28 16:49:59.763894,0.05,0.7556,0.0,0.0,0.132
2020-04-28 16:49:59.813894,0.1,0.7605,0.0,0.0,0.0166
2020-04-28 16:49:59.873894,0.16,0.741,0.0,0.0,0.0147
2020-04-28 16:49:59.923894,0.21,0.7458,0.0,0.0,0.0147
2020-04-28 16:49:59.963894,0.25,0.7517,0.0,0.0,0.0147
2020-04-28 16:50:00.013894,0.3,0.7605,0.0,0.0,0.0137
2020-04-28 16:50:00.063894,0.35,0.7468,0.0,0.0,0.0147
2020-04-28 16:50:00.113894,0.4,0.7566,0.0,0.0,0.0137
2020-04-28 16:50:00.173894,0.46,0.7634,0.0,0.0,0.0147
2020-04-28 16:50:00.213894,0.5,0.7625,0.0,0.0,0.0137
2020-04-28 16:50:00.273894,0.56,0.7419,0.0,0.0,0.0137
2020-04-28 16:50:00.313894,0.6,0.7537,0.0,0.0,0.0147
2020-04-28 16:50:00.373894,0.66,0.7634,0.0,0.0,0.0147
2020-04-28 16:50:00.423894,0.71,0.7634,0.0,0.0,0.0137
2020-04-28 16:50:00.463894,0.75,0.7586,0.0,0.0,0.0137
2020-04-28 16:50:00.513894,0.8,0.7625,0.0,0.0,0.0137
2020-04-28 16:50:00.563894,0.85,0.7634,0.0,0.0,0.0147
2020-04-28 16:50:00.613894,0.9,0.7566,0.0,0.0,0.0137
2020-04-28 16:50:00.663894,0.95,0.7507,0.0,0.0,0.0137
2020-04-28 16:50:00.713894,1.0,0.7586,0.0,0.0,0.0147
2020-04-28 16:50:00.763894,1.05,0.7546,0.0,0.0,0.0137
2020-04-28 16:50:00.813894,1.1,0.7605,0.0,0.0,0.0137
2020-04-28 16:50:00.873894,1.16,0.7527,0.0,0.0,0.0147
2020-04-28 16:50:00.913894,1.2,0.7634,0.0,0.0,0.0147
2020-04-28 16:50:00.963894,1.25,0.7595,0.0,0.0,0.0137
2020-04-28 16:50:01.013894,1.3,0.7507,0.0,0.0,0.0147
2020-04-28 16:50:01.063894,1.35,0.7566,0.0,0.0,0.0147
2020-04-28 16:50:01.123894,1.41,0.7488,0.0,0.0,0.0147
2020-04-28 16:50:01.173894,1.46,0.7488,0.0,0.0,0.0147
2020-04-28 16:50:01.213894,1.5,0.7556,0.0,0.0,0.0137
2020-04-28 16:50:01.263894,1.55,0.7468,0.0,0.0,0.0147
2020-04-28 16:50:01.313894,1.6,0.7615,0.0,0.0,0.0147
