,volt_0,volt_1,volt_2,volt_3,volt_4,volt_5,volt_6,volt_7,volt_8,volt_9,volt_10,volt_11
Resist10_high,0.32718733333333305,0.44081116666666675,0.4108318333333337,0.28701400000000005,0.35545466666666686,0.49358566666666726,0.26636916666666716,0.5577970000000009,0.48919366666666625,0.42051666666666687,0.5885038333333324,0.46092866666666654
Resist10_median,0.26438383333333315,0.4017243333333333,0.3807558333333336,0.29570399999999974,0.3403548333333332,0.4832865000000001,0.37049066666666636,0.5329953333333333,0.4002856666666662,0.34858466666666643,0.5521753333333335,0.40497116666666655
Resist10_low,0.2447611666666665,0.3853488333333328,0.3839211666666668,0.30537333333333305,0.3113726666666667,0.4700658333333332,0.3857174999999998,0.5506645000000006,0.44457100000000066,0.3675503333333332,0.5519648333333343,0.4065161666666669
Resist9_high,0.3789083333333332,0.4381871666666668,0.4780245000000003,0.3306971666666668,0.37345100000000014,0.5063626666666672,0.3314136666666671,0.4867239999999993,0.4578298333333345,0.4178385000000003,0.4682880000000003,0.5045786666666662
Resist9_median,0.389726333333333,0.42768316666666695,0.4394921666666665,0.2882161666666666,0.363047666666666,0.5161806666666668,0.37344816666666664,0.5045283333333327,0.43378866666666693,0.3923716666666663,0.45040483333333325,0.4980121666666659
Resist9_low,0.36702483333333324,0.4216623333333333,0.4527468333333341,0.3038758333333332,0.3569188333333334,0.505020833333334,0.3686756666666664,0.5061669999999997,0.4293561666666669,0.38085816666666666,0.4398585000000002,0.4916149999999995
Resist8_high,0.4169703333333328,0.45979916666666676,0.49007966666666675,0.35918799999999984,0.41418916666666655,0.5521520000000005,0.40243216666666665,0.5484383333333325,0.4850698333333338,0.40853033333333344,0.49353800000000025,0.5342465000000006
Resist8_median,0.3760558333333339,0.42355033333333286,0.4709374999999999,0.35409750000000006,0.39195283333333353,0.5429083333333337,0.4086116666666665,0.5411966666666664,0.4769014999999996,0.40039416666666666,0.4747261666666671,0.5197231666666668
Resist8_low,0.3904106666666668,0.4409281666666666,0.4791238333333336,0.3508256666666665,0.38335116666666647,0.5371903333333337,0.4043871666666666,0.5308895000000001,0.4517600000000003,0.3770996666666669,0.45582583333333293,0.511152166666667
Resist7_high,0.41309883333333347,0.46983150000000024,0.4939924999999991,0.3785800000000001,0.45458783333333297,0.5866938333333337,0.33460483333333335,0.5428540000000003,0.5309416666666666,0.449657333333333,0.5114871666666672,0.5425285000000002
Resist7_median,0.3953343333333336,0.4434500000000002,0.4956850000000002,0.39483366666666725,0.41758033333333294,0.5264908333333342,0.3396603333333336,0.5351493333333328,0.4718835000000001,0.4061598333333335,0.4336596666666668,0.5246868333333335
Resist7_low,0.41467983333333336,0.4490826666666665,0.48001966666666723,0.3613738333333332,0.3898443333333332,0.5176859999999992,0.39052199999999987,0.5343451666666664,0.46801316666666687,0.39390766666666627,0.40839533333333333,0.5143525000000011
Resist6_high,0.27690850000000017,0.37676566666666667,0.5221696666666669,0.4493205,0.4714218333333337,0.5689214999999992,0.32956549999999984,0.5320098333333333,0.5053508333333331,0.3990421666666667,0.4735878333333336,0.5222900000000004
Resist6_median,0.31898966666666706,0.3794493333333333,0.4690853333333336,0.34600816666666684,0.40178683333333426,0.5198275000000002,0.2832463333333334,0.5653,0.47921416666666705,0.3850789999999995,0.45154699999999953,0.504395666666667
Resist6_low,0.30205383333333313,0.36666949999999965,0.4561901666666662,0.36287849999999994,0.3788205000000003,0.5206761666666666,0.2584711666666669,0.4971288333333331,0.44425516666666587,0.36873949999999994,0.38069916666666687,0.4966078333333333
Resist5_high,0.3054865000000002,0.3776575000000001,0.4201281666666664,0.25601183333333366,0.48125549999999967,0.5631306666666664,0.2433320000000001,0.4706836666666662,0.5379245000000004,0.3639271666666664,0.47471749999999985,0.45327449999999964
Resist5_median,0.28951816666666647,0.3761880000000003,0.44354549999999987,0.29161049999999994,0.37276916666666615,0.48214266666666733,0.31864100000000006,0.5398380000000008,0.5433988333333333,0.38902950000000003,0.4200728333333329,0.4254783333333336
Resist5_low,0.32060050000000045,0.3768678333333326,0.4422633333333335,0.2812974999999999,0.3673926666666671,0.48588266666666774,0.29146200000000017,0.5252040000000004,0.5400286666666667,0.392845833333333,0.4070586666666663,0.4236696666666665
Resist4_high,0.35587616666666705,0.43830466666666673,0.5065331666666663,0.3526344999999999,0.4608338333333336,0.5623561666666668,0.12813466666666679,0.3998306666666666,0.4233338333333333,0.4199871666666672,0.5035794999999994,0.5331091666666675
Resist4_median,0.3474388333333332,0.4195843333333337,0.45544683333333363,0.3012701666666666,0.4092641666666668,0.5275531666666666,0.25510833333333316,0.5121064999999999,0.5070339999999999,0.36937366666666666,0.4468066666666666,0.5042171666666669
Resist4_low,0.32598333333333335,0.41866349999999974,0.45596483333333376,0.3258503333333331,0.3841354999999997,0.511821333333333,0.24116533333333345,0.47327683333333387,0.45426166666666695,0.3202876666666663,0.4106078333333333,0.4736323333333331
Resist3_high,0.3069886666666672,0.4114065000000001,0.4881426666666662,0.32300850000000036,0.46360066666666644,0.5686119999999989,0.10856633333333339,0.44330833333333347,0.415910666666667,0.3949651666666665,0.5087246666666677,0.5410811666666668
Resist3_median,0.31600183333333337,0.4030455000000001,0.4802631666666673,0.4095623333333328,0.4261228333333335,0.5356680000000004,0.2862094999999997,0.5690298333333332,0.5248136666666664,0.39876866666666694,0.4590799999999999,0.4456215
Resist3_low,0.32007349999999996,0.42844366666666656,0.4774138333333338,0.4057724999999993,0.39566533333333337,0.5026698333333327,0.30116016666666634,0.5310353333333336,0.4768073333333335,0.3925413333333336,0.4212023333333335,0.4787400000000007
Resist2_high,0.4246956666666667,0.5076823333333329,0.48941250000000025,0.36854783333333313,0.4680536666666661,0.574471166666667,0.14590666666666685,0.4735906666666663,0.3961625000000005,0.4144173333333336,0.5395706666666663,0.5536301666666664
Resist2_median,0.28175983333333343,0.40956216666666667,0.5022005000000004,0.43404599999999977,0.41601483333333356,0.5267534999999999,0.2525416666666668,0.5057079999999996,0.4956096666666674,0.4162306666666671,0.4708581666666665,0.5027679999999997
Resist2_low,0.34724400000000005,0.4393168333333333,0.5121388333333335,0.42828033333333365,0.4126193333333334,0.5196238333333332,0.313891,0.5099348333333327,0.4956643333333332,0.3964551666666659,0.43081416666666666,0.46515999999999963
Resist1_high,0.3536514999999998,0.4571698333333334,0.49963383333333355,0.4015773333333337,0.45858533333333357,0.5716948333333335,0.1277016666666666,0.4650638333333331,0.43539216666666686,0.4428158333333332,0.5300785000000008,0.5582211666666662
Resist1_median,0.33233316666666674,0.42383699999999985,0.5114894999999997,0.4064114999999996,0.43523900000000065,0.537813166666667,0.2676083333333331,0.48711283333333333,0.4655811666666663,0.39494716666666724,0.45290333333333355,0.4906531666666666
Resist1_low,0.3623464999999996,0.44418799999999986,0.5071858333333337,0.42149883333333316,0.4280615000000003,0.5403994999999999,0.300257666666667,0.509305166666667,0.4881075,0.417965666666667,0.39714500000000064,0.43362850000000025
