,volt_0,volt_1,volt_2,volt_3,volt_4,volt_5,volt_6,volt_7,volt_8,volt_9,volt_10,volt_11
Resist10_high,0.4664347730666885,0.534813152184196,0.46470319393865805,0.33895521965789727,0.45721583363474627,0.5656503370094156,0.4107807501072009,0.6258093648063799,0.5330871394958056,0.45572220794120943,0.6328557123376831,0.5305309723408269
Resist10_median,0.4299372895020991,0.5134136413635287,0.4285929546054893,0.3342778647186214,0.4267373873727145,0.5519593891389903,0.5051829270931362,0.5990717956323669,0.4500906052359753,0.38621912411714027,0.6071713133212387,0.49231559358710636
Resist10_low,0.39039109243276476,0.4917865399836509,0.42960122431081116,0.3451324685653151,0.3901658719812163,0.5257010052854905,0.507408047611409,0.6082027005984084,0.5052154880974853,0.39722432067941954,0.5981179640304236,0.47935167399337275
Resist9_high,0.47416415139125545,0.5210629022615291,0.5077662484698119,0.40625655940526123,0.46872927718414975,0.5735272777533232,0.4789382436751241,0.5868468631732868,0.5141719228564215,0.46047828169528676,0.5341165490514115,0.55904076702981
Resist9_median,0.4899262918488445,0.5165400646312258,0.48023880180791817,0.36196396000672465,0.4548267830124504,0.5719513853678467,0.5167946012069025,0.605858206927131,0.49279726277485697,0.43623178375654853,0.5244148544312923,0.5522017847803918
Resist9_low,0.46390191652831114,0.5029821514093359,0.4839651537362577,0.3624853538840091,0.4337976896657264,0.5602339721157091,0.5348382761010415,0.6131117258253951,0.5018519018117924,0.43373707816916385,0.5199681474188763,0.5481247127677726
Resist8_high,0.48800099190413077,0.5253136775107557,0.5231992939462914,0.42868819017258064,0.48627831591210796,0.5884595544999076,0.523616043308319,0.624635799832536,0.5553816567047439,0.46519026242127226,0.5471794423392059,0.5832065085084929
Resist8_median,0.4629055425293026,0.4890759487842817,0.49789682319051815,0.4165873776335438,0.4579267542885359,0.5873481664793605,0.536623976886464,0.621046722809767,0.544393451962616,0.45368108083649955,0.5343969110483444,0.5668517999075412
Resist8_low,0.4676889083413326,0.5044529121579294,0.5060129105561905,0.4030415532033425,0.43987366010715,0.5754646443606168,0.5400096653041574,0.6123432016178971,0.5198462200294176,0.42617370860547216,0.5227205322978182,0.5585930044933201
Resist7_high,0.49479114751682557,0.5405833083283682,0.536525141626744,0.44656889422823126,0.508983183117284,0.611835924455687,0.454648224223381,0.6121234963622633,0.5877555866832906,0.4976485968055965,0.5615097722158969,0.5902512775098471
Resist7_median,0.4697296527720317,0.509320422853919,0.5365447716578328,0.4543423641306673,0.47007823929814496,0.5604568934315152,0.438616112121921,0.5982958279016858,0.5428025197423061,0.4661373531282644,0.5030989013408667,0.5699605652746986
Resist7_low,0.47847171256382237,0.4982173229956428,0.5138671926401092,0.42224629043164086,0.4331889478045349,0.5494268601070963,0.506772206576575,0.6038045279724222,0.5327068837170568,0.44967547497882043,0.48866586016304564,0.5594667329915448
Resist6_high,0.36490626456941727,0.45649536730209217,0.5511133612388898,0.4954545171281759,0.5175256212639103,0.5957187363827771,0.44236068695676917,0.5891307764256115,0.5520531890023409,0.4594002614310295,0.5380858140232025,0.5751310219518224
Resist6_median,0.393856372215397,0.4523130885799742,0.5050867263192491,0.4151404801188791,0.4437901761937854,0.5493090662029584,0.3727720277576785,0.6118431639545686,0.5395134723534055,0.4452880421885693,0.5208070359403907,0.5528815908792073
Resist6_low,0.3810851777226461,0.43427668126275687,0.49233944163501064,0.42096777455131,0.41581190274744856,0.5462834001591792,0.3547766284435091,0.552874773117747,0.5024098554410651,0.4105662082433859,0.43817624428763885,0.527075448464167
Resist5_high,0.37872598753403985,0.44062694950555764,0.4602672290132766,0.3352725046435246,0.5244585116810326,0.588062226458646,0.37941318247903444,0.5572102558470942,0.5728737309030881,0.41380552484297783,0.5448854257389005,0.5368162667453591
Resist5_median,0.3618084023740881,0.43903614715864214,0.4825017882726183,0.3532498051737684,0.40227315764777816,0.5045748723216663,0.42936585519302045,0.5898877469179739,0.5776470109883697,0.4242741769171168,0.4907622105938262,0.5059695717398391
Resist5_low,0.3738278695203859,0.42252404060821386,0.4721467723974345,0.33264113539211443,0.39315240883213826,0.5061740193491542,0.37828789279168834,0.5800401024143115,0.5745075436172534,0.422202634182148,0.4743546474300236,0.5052485042692186
Resist4_high,0.4184153486809482,0.497347495915895,0.5367192557948557,0.4228119707866008,0.51040921983474,0.5914662402703142,0.23499662040425914,0.4817336216239207,0.4738652883997226,0.46009648947131143,0.5525514049855589,0.5858286057600781
Resist4_median,0.4116661943478746,0.47284797702737635,0.49163244273542445,0.3676407149847055,0.444197935609791,0.5544662911254654,0.35809364815989,0.562242474694751,0.5505555073060299,0.4069200079607634,0.4992846689339964,0.5460864129552804
Resist4_low,0.3783889972615318,0.4597007122537727,0.4794250843044382,0.3691890765028667,0.40918766270656076,0.529620087572681,0.3246738021363846,0.5279072243074178,0.49458303091653705,0.34733967007742644,0.4623969312038684,0.5170170359716888
Resist3_high,0.38276273894562074,0.45596220293784934,0.5147690387021636,0.39036772312546575,0.5101547993722895,0.5971221943864601,0.21256982318199927,0.5031740554642179,0.46051875804386494,0.4484566002219262,0.5511064690699831,0.585928633781752
Resist3_median,0.37530809145185606,0.4523844470080032,0.5117120776922708,0.45026185717822664,0.4582059838473746,0.5664161809839382,0.3484402710541761,0.6009548197587767,0.5489330452936723,0.4333275001744147,0.5117809616139064,0.4948229949239991
Resist3_low,0.36354423514421635,0.46103134074800034,0.49392359635381666,0.42796170836035613,0.4099769002314687,0.5188550926655601,0.3756080776771238,0.5663824872346902,0.5035757014297085,0.4151814750157592,0.4728927334153838,0.5179708488537703
Resist2_high,0.47114277150471207,0.5351612534211757,0.5232504319794364,0.42008749961310415,0.5113747656835624,0.6013184753991055,0.22596776075820452,0.5268337457757177,0.44251861186212305,0.4522959813560481,0.5810781433841322,0.5972747176542045
Resist2_median,0.35366075939291725,0.45220513318501065,0.5324934047434187,0.473112654412701,0.44388649974042993,0.5552898101309753,0.3406923997802292,0.5423384271806438,0.5246713868244096,0.4383656641274423,0.5165765691776601,0.5396085226777643
Resist2_low,0.3931502382871327,0.46464921564671585,0.5304404793253611,0.453882335659756,0.42547507224347664,0.5391039078501497,0.3884261971515421,0.5416753938203289,0.518596656201334,0.4195344045279632,0.48399630723027354,0.5043905022767404
Resist1_high,0.40372429822991013,0.48945531962813604,0.5322498732408822,0.4522200385477127,0.4994635829668259,0.6039994789911834,0.23032107519105874,0.5211793044578896,0.4752726539071527,0.4716171265065944,0.5702280986912491,0.5998695573998248
Resist1_median,0.40773303486152696,0.46939364365226494,0.5389179943858783,0.45010561052795434,0.4666163701376823,0.5726009616427822,0.35923666252016934,0.5305230305101182,0.5019431690780615,0.4185678634595231,0.5007930456080756,0.5323952567768643
