timestamp,interval(s),volt_0,volt_1,volt_2,volt_3,volt_4,volt_5,volt_6,volt_7,volt_8,volt_9,volt_10,volt_11
2020-06-05 13:24:55.532884,0.1092,0.1515,0.1554,0.3568,0.0381,0.3255,0.435,0.3646,0.4946,0.2757,0.2278,0.3803,0.4829
2020-06-05 13:24:55.626484,0.2028,0.1447,0.1672,0.3803,0.0518,0.348,0.4575,0.2903,0.4418,0.2776,0.2375,0.3675,0.4682
2020-06-05 13:24:55.735684,0.312,0.0987,0.1779,0.4409,0.1124,0.3861,0.4721,0.2522,0.393,0.2366,0.2053,0.3372,0.4487
2020-06-05 13:24:55.829284,0.4056,0.1574,0.2336,0.4761,0.131,0.4076,0.4761,0.2424,0.3539,0.2199,0.176,0.2708,0.3822
2020-06-05 13:24:55.938484,0.5148,0.3871,0.3402,0.479,0.1105,0.4194,0.4848,0.2463,0.346,0.2346,0.175,0.2239,0.3431
2020-06-05 13:24:56.032084,0.6084,0.4575,0.3763,0.4897,0.0909,0.4438,0.4976,0.2757,0.3803,0.2757,0.172,0.1984,0.3167
2020-06-05 13:24:56.125684,0.702,0.4633,0.3861,0.4946,0.1134,0.4555,0.5024,0.2551,0.3568,0.2278,0.129,0.1877,0.3118
2020-06-05 13:24:56.234884,0.8112,0.4585,0.3939,0.5073,0.129,0.4536,0.4976,0.2287,0.3118,0.1544,0.1075,0.175,0.2923
2020-06-05 13:24:56.328484,0.9048,0.4731,0.4086,0.5112,0.1271,0.4467,0.4897,0.1789,0.2835,0.131,0.1065,0.1769,0.3001
2020-06-05 13:24:56.437684,1.014,0.4888,0.4184,0.5015,0.0802,0.4467,0.4936,0.0782,0.2219,0.0411,0.1134,0.1701,0.304
2020-06-05 13:24:56.531284,1.1076,0.4966,0.4223,0.5024,0.0704,0.4516,0.4976,0.0479,0.2082,0.0469,0.1398,0.174,0.306
2020-06-05 13:24:56.624884,1.2012,0.5064,0.4321,0.5064,0.0821,0.4536,0.4946,0.0,0.1564,0.0528,0.1701,0.1808,0.3118
2020-06-05 13:24:56.734084,1.3104,0.5083,0.4379,0.5083,0.087,0.4614,0.4995,0.0137,0.172,0.1183,0.1838,0.1857,0.3177
2020-06-05 13:24:56.827684,1.404,0.5054,0.434,0.4927,0.0723,0.4751,0.5073,0.0049,0.1857,0.1212,0.1828,0.1887,0.3226
2020-06-05 13:24:56.936884,1.5132,0.4946,0.4321,0.4936,0.0704,0.4839,0.5073,0.0059,0.174,0.129,0.1955,0.1955,0.3284
2020-06-05 13:24:57.030484,1.6068,0.4467,0.3988,0.4946,0.0772,0.4653,0.4985,0.0,0.1632,0.1466,0.2131,0.1994,0.3275
2020-06-05 13:24:57.139684,1.716,0.3734,0.3431,0.4575,0.0684,0.3969,0.4614,0.0,0.1672,0.1877,0.2405,0.2239,0.348
